level,head,aggregator,loss,mask_type
5,mlp,mean,regression,epithel
3,linear,attention,bce,epithel_and_cancer_5
3,linear,attention,joint,cancer_mask_9
4,mlp,mean,joint,cancer_mask_5
2,mlp,transformer,bce,cancer_mask_9
2,mlp,attention,joint,epithel_and_cancer_5
3,mlp,max,joint,cancer_mask_9
5,linear,mean,joint,epithel_and_cancer_5
4,linear,attention,bce,epithel_or_cancer_5
3,mlp,mean,regression,epithel_or_cancer_5
5,linear,mean,bce,tissue_only
2,mlp,transformer,joint,cancer_mask_5
5,linear,max,bce,cancer_mask_5
2,linear,mean,regression,tissue_only
4,mlp,mean,joint,epithel
2,linear,attention,joint,epithel
2,mlp,attention,bce,epithel_or_cancer_5
4,mlp,max,joint,epithel_and_cancer_5
2,linear,max,regression,cancer_mask_5
4,mlp,attention,regression,tissue_only
5,mlp,attention,regression,tissue_only
5,linear,transformer,bce,epithel
5,linear,attention,regression,cancer_mask_9
3,mlp,mean,bce,tissue_only
3,linear,transformer,regression,epithel_and_cancer_5
2,linear,transformer,bce,tissue_only
2,linear,max,regression,epithel_or_cancer_5
2,mlp,mean,bce,epithel_and_cancer_5
3,mlp,max,joint,tissue_only
2,mlp,max,regression,epithel
4,mlp,transformer,regression,epithel
2,linear,mean,joint,cancer_mask_5
2,mlp,transformer,joint,cancer_mask_9
5,linear,max,regression,cancer_mask_9
4,mlp,transformer,regression,epithel_and_cancer_5
4,linear,max,joint,tissue_only
4,mlp,attention,bce,cancer_mask_5
4,linear,transformer,joint,epithel_or_cancer_5
5,mlp,max,joint,epithel_or_cancer_5
5,mlp,max,bce,epithel_and_cancer_5
3,mlp,max,bce,epithel
3,linear,attention,joint,epithel
5,linear,transformer,joint,tissue_only
4,linear,mean,bce,cancer_mask_9
4,linear,mean,regression,cancer_mask_9
3,linear,transformer,regression,cancer_mask_5
5,mlp,transformer,joint,epithel_or_cancer_5
5,mlp,attention,joint,cancer_mask_5
